Group.1,WoodpeckerCavities,Concavities,Rotholes,InsectGalleries,ExposedHeartwood,PerennialFungi,Ephermalfungi,Epiphytes,DeadwooodShelter,StumpStructures,LogStructures,WoodyDebris,ExposedRoots
A. alba Entire Tree,2,9,1,4,4,0,14,1,2,1,2,2,0
A. alba Log,4,25,9,5,15,0,69,1,2,6,9,1,0
A. alba Stump,0,4,2,0,0,0,12,0,4,5,0,3,2
F. sylvatica Entire Tree,0,3,1,3,1,0,65,5,1,0,0,0,0
F. sylvatica Log,5,11,17,9,13,0,74,7,9,8,4,2,0
F. sylvatica Stump,0,3,3,1,0,0,40,8,20,38,3,8,7
P. abies Entire Tree,6,44,6,31,18,0,94,21,27,10,36,4,0
P. abies Log,7,54,6,32,13,0,101,22,23,13,26,16,0
P. abies Stump,0,21,7,26,1,0,117,17,37,22,2,3,33
