Var1,Freq,Percentage
A. alba Log/Entire Tree,46,8.63039399624765
A. alba Stump,12,2.25140712945591
Broadleaf Log/Entire Tree,7,1.31332082551595
Broadleaf Stump,2,0.375234521575985
Conifer Log/Entire Tree,26,4.8780487804878
Conifer Stump,36,6.75422138836773
F. sylvatica Log/Entire Tree,49,9.19324577861163
F. sylvatica Stump,37,6.94183864915572
No ID Log/Entire Tree,5,0.938086303939963
No ID Stump,12,2.25140712945591
P. abies Log/Entire Tree,192,36.0225140712946
P. abies Stump,109,20.4502814258912
