TreeIdentities2,Decay_Stage,Count
Broadleaf Log/Entire tree,Decay stage 1,7
Broadleaf Stump,Decay stage 1,0
Conifer Log/Entire Tree,Decay stage 1,6
Conifer Stump,Decay stage 1,12
No ID,Decay stage 1,0
Broadleaf Log/Entire tree,Decay stage 2,13
Broadleaf Stump,Decay stage 2,2
Conifer Log/Entire Tree,Decay stage 2,83
Conifer Stump,Decay stage 2,30
No ID,Decay stage 2,0
Broadleaf Log/Entire tree,Decay stage 3,20
Broadleaf Stump,Decay stage 3,7
Conifer Log/Entire Tree,Decay stage 3,95
Conifer Stump,Decay stage 3,33
No ID,Decay stage 3,2
Broadleaf Log/Entire tree,Decay stage 4,8
Broadleaf Stump,Decay stage 4,18
Conifer Log/Entire Tree,Decay stage 4,48
Conifer Stump,Decay stage 4,32
No ID,Decay stage 4,5
Broadleaf Log/Entire tree,Decay stage 5,8
Broadleaf Stump,Decay stage 5,12
Conifer Log/Entire Tree,Decay stage 5,32
Conifer Stump,Decay stage 5,50
No ID,Decay stage 5,10
